"Kode Mapel","Nama Mapel",Kelas,"Jam Per Minggu",Deskripsi,Semester,"Tahun Ajaran",Status,"NIK/Kode Guru"
BAHASA_INGGRIS_DAN_BAHASA_ASIN,"Bahasa inggris dan Bahasa Asing Lainnya",,2,,ganjil,2025/2026,aktif,42
FIQIH,Fiqih,,2,,ganjil,2025/2026,aktif,43
BAHASA_JEPANG,"Bahasa Jepang",,2,,ganjil,2025/2026,aktif,44
SEJARAH,Sejarah,,2,,ganjil,2025/2026,aktif,44
TEKNIK_PEMESINAN_NONKONVENSION,"Teknik Pemesinan Nonkonvensional",,2,,ganjil,2025/2026,aktif,45
DASAR_DASAR_TEKNIK_OTOMOTIF_1,"Dasar-Dasar Teknik Otomotif-1",,2,,ganjil,2025/2026,aktif,46
CULTURE_INDUSTRY,"Culture Industry",,2,,ganjil,2025/2026,aktif,46
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,46
MATEMATIKA,Matematika,,2,,ganjil,2025/2026,aktif,47
SEJARAH,Sejarah,,2,,ganjil,2025/2026,aktif,47
DASAR_TEKNIK_MESIN_2,"Dasar Teknik Mesin-2",,2,,ganjil,2025/2026,aktif,48
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,48
PEMELIHARAAN_MESIN_KENDARAAN_R,"Pemeliharaan Mesin Kendaraan Ringan",,2,,ganjil,2025/2026,aktif,49
TEKNIK_SEPEDA_MOTOR,"Teknik Sepeda Motor",,2,,ganjil,2025/2026,aktif,49
CULTURE_INDUSTRY,"Culture Industry",,2,,ganjil,2025/2026,aktif,49
DASAR_TEKNIK_MESIN_1,"Dasar Teknik Mesin-1",,2,,ganjil,2025/2026,aktif,49
